2001,เสื้อฝึกงาน (ชาย)
2002,เสื้อฝึกงาน (หญิง)
2003,กางเกงฝึกงาน
2004,กระโปรงนักศึกษา
2005,เสื้อเชิ้ตสีขาวแขนสั้น (ชาย)
2006,เสื้อเชิ้ตสีขาวแขนยาว (ชาย)
2007,เสื้อเชิ้ตสีขาวแขนยาว (หญิง)
2008,เสื้อเชิ้ตสีขาวแขนยาว (หญิง)
2009,เสื้อพละ
2010,กางเกงพละ
2011,รองเท้าผ้าใบ
2012,รองเท้าคัทชู (ชาย)
2013,รองเท้าคัทชู (หญิง)
2014,รองเท้าเซฟตี้
